"ExchNameCME","GroupNameCME","ExchCodeDDF","GroupNameDDF","IsIgnoreDDF","FutureDisplay","FutureReference","OptionDisplay","OptionReference","SpreadDisplay","SpreadReference","StrikeHack","Comment"
"XOCH","ARB1C","3","ARB1C","Y","0","0","0","0","0","0","0",
"XOCH","ARCC1C","3","ARCC1C","Y","0","0","0","0","0","0","0",
"XOCH","ARE1C","3","ARE1C","Y","0","0","0","0","0","0","0",
"XOCH","ARG1C","3","ARG1C","Y","0","0","0","0","0","0","0",
"XOCH","ARMH1C","3","ARMH1C","Y","0","0","0","0","0","0","0",
"XOCH","ASBC1C","3","ASBC1C","Y","0","0","0","0","0","0","0",
"XOCH","ASCA1C","3","ASCA1C","Y","0","0","0","0","0","0","0",
"XOCH","ASFI1C","3","ASFI1C","Y","0","0","0","0","0","0","0",
"XOCH","ASH1C","3","ASH1C","Y","0","0","0","0","0","0","0",
"XOCH","ASML1C","3","ASML1C","Y","0","0","0","0","0","0","0",
"XOCH","ASTE1C","3","ASTE1C","Y","0","0","0","0","0","0","0",
"XOCH","ASTI1C","3","ASTI1C","Y","0","0","0","0","0","0","0",
"XOCH","ATHN1C","3","ATHN1C","Y","0","0","0","0","0","0","0",
"XOCH","ATHR1C","3","ATHR1C","Y","0","0","0","0","0","0","0",
"XOCH","ATI1C","3","ATI1C","Y","0","0","0","0","0","0","0",
"XOCH","ATLS1C","3","ATLS1C","Y","0","0","0","0","0","0","0",
"XOCH","ATPG1C","3","ATPG1C","Y","0","0","0","0","0","0","0",
"XOCH","ATU1C","3","ATU1C","Y","0","0","0","0","0","0","0",
"XOCH","ATVI1C","3","ATVI1C","Y","0","0","0","0","0","0","0",
"XOCH","AU1C","3","AU1C","Y","0","0","0","0","0","0","0",
"XOCH","AUO1C","3","AUO1C","Y","0","0","0","0","0","0","0",
"XOCH","AUXL1C","3","AUXL1C","Y","0","0","0","0","0","0","0",
"XOCH","AUY1C","3","AUY1C","Y","0","0","0","0","0","0","0",
"XOCH","AVAV1C","3","AVAV1C","Y","0","0","0","0","0","0","0",
"XOCH","AVB1C","3","AVB1C","Y","0","0","0","0","0","0","0",
"XOCH","AVGO1C","3","AVGO1C","Y","0","0","0","0","0","0","0",
"XOCH","AVP1C","3","AVP1C","Y","0","0","0","0","0","0","0",
"XOCH","AVY1C","3","AVY1C","Y","0","0","0","0","0","0","0",
"XOCH","AW1C","3","AW1C","Y","0","0","0","0","0","0","0",
"XOCH","AWH1C","3","AWH1C","Y","0","0","0","0","0","0","0",
"XOCH","AXA1C","3","AXA1C","Y","0","0","0","0","0","0","0",
"XOCH","AXL1C","3","AXL1C","Y","0","0","0","0","0","0","0",
